GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-children-and-adolescents-bmi-1-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2013,2013,2013,SEAR,South-East Asia,IND,India,SEX,SEX_MLE,Male,7.81239,7.8 [7.1-8.5],7.0991,8.54301
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/crude-suicide-rates-%28per-100-000-population%29,2019,2019,2019,SEAR,South-East Asia,IND,India,SEX,SEX_BTSX,Both sexes,16.26,16.3,,
SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/crude-suicide-rates-%28per-100-000-population%29,2017,2017,2017,SEAR,South-East Asia,IND,India,SEX,SEX_BTSX,Both sexes,12.0383,12.0 [8.9-14.8],8.94,14.7957
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-children-and-adolescents-bmi-1-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2005,2005,2005,SEAR,South-East Asia,IND,India,SEX,SEX_BTSX,Both sexes,3.44878,3.4 [3.1-3.8],3.14135,3.76554
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-underweight-among-adults-bmi-18-%28crude-estimate%29-%28-%29,1990,1990,1990,SEAR,South-East Asia,IND,India,SEX,SEX_BTSX,Both sexes,41.4252,41.4 [39.6-43.3],39.55945,43.28581
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-%2815-%29-consumption-%28in-litres-of-pure-alcohol%29,2014,2014,2014,SEAR,South-East Asia,IND,India,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,Beer,0.19912,0.2,,
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2004,2004,2004,SEAR,South-East Asia,IND,India,SEX,SEX_BTSX,Both sexes,1.23026,1.2 [1.0-1.4],1.03596,1.44085
NCD_CCS_MultisecComm,"Existence of a national multisectoral commission, agency or mechanism for NCDs",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/existence-of-a-national-multisectoral-commission--agency-or-mechanism-for-ncds,2017,2017,2017,SEAR,South-East Asia,IND,India,,,,,No,,
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-%28recorded-unrecorded%29-alcohol-per-capita-%2815-%29-consumption,2012,2012,2012,SEAR,South-East Asia,IND,India,SEX,SEX_MLE,Male,8.25404,8.3 [4.2 - 12.2],4.20932,12.24148
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-adults-bmi--30-%28crude-estimate%29-%28-%29,2015,2015,2015,SEAR,South-East Asia,IND,India,SEX,SEX_BTSX,Both sexes,4.77845,4.8 [4.5-5.1],4.50571,5.06104
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,2012,2012,2012,SEAR,South-East Asia,IND,India,SEX,SEX_BTSX,Both sexes,26.85028,26.9 [25.8-27.9],25.75344,27.93717
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-adults-bmi--30-%28age-standardized-estimate%29-%28-%29,1996,1996,1996,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,1.85585,1.9 [1.6-2.1],1.61389,2.12484
NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-adults-bmi--25-%28age-standardized-estimate%29-%28-%29,1998,1998,1998,SEAR,South-East Asia,IND,India,SEX,SEX_BTSX,Both sexes,9.86879,9.9 [9.3-10.5],9.31795,10.45467
